source,rating,text
Trustpilot,5,"The online rewards and reviews for bank 5
. My experience with the company is no problem at all even with the web site experience of online banking"
Trustpilot,3,"Wait time to meet with someone was a…. Wait time to meet with someone was a negative for me. Waited about 45 minutes. On a positive note, once I got to meet with the manager the banking business was completed in a timely manner and all my questions were answered."
Trustpilot,5,"i had very good and smooth transection…. i had very good and smooth transection ,so no complain there service is up to the mark"
Trustpilot,5,Every time that i need help i called…. Every time that i need help i called and talked with a live person
Trustpilot,5,Teller was very efficient and…. Teller was very efficient and professional
Trustpilot,5,"Very friendly staff and great knowledge . The staff were very friendly, great knowledge and followed with me to guarantee that everything was ok"
Trustpilot,5,Friendly people that know your name. Christina is always so helpful and pleasant at the Dartmouth Branch. Always look forward to seeing her behind the counter.
Trustpilot,5,Great experience!. Everyone was very friendly and the process for getting my daughter a new debit card went smoothly.
Trustpilot,5,Great experience staff cooperative and…. Great experience staff cooperative and excellent job
Trustpilot,5,Great employees. The employees are courteous and helpful and I'm never in there longer than 10 minutes.
Trustpilot,5,Your personnel at the Main and Somerset…. Your personnel at the Main and Somerset branded are so welcoming and friendly.
Trustpilot,5,Excellent  and friendly customer service. Excellent  and friendly customer service
Trustpilot,5,Everything was fine.. Everything was fine.
Trustpilot,4,thats a nice product.. thats a nice product.
Trustpilot,5,"Attending  is very good. Attending  is very good, very Prefesional and courteous."
Trustpilot,4,very good experience. very good experience
Trustpilot,5,The guy who I called was very polite…. The guy who I called was very polite and solved my problem in under a minute.
Trustpilot,5,Very knowledgeable… answered my…. Very knowledgeable… answered my question…
Trustpilot,5,"Easy for go in write signager. Easy for go in write signager, informed by you business platform. Appreciate that is, it's never C. Is so easy? Your support so very good."
Trustpilot,5,Exceptional service and understanding…. Exceptional service and understanding of the issues i had. I was very satisfied with the people whom I spoke with.
Trustpilot,5,Good experience . The girl was very pleasant and helpful.
Trustpilot,5,"When you visit the bank. When you visit the bank, you always receive quality service and sweets :)"
Trustpilot,5,Nice awesome. Nice awesome
Trustpilot,5,Very nice experience and i will…. Very nice experience and i will collaborate with them every year
Trustpilot,1,"“I would rate my experience as 4 out of…. “I would rate my experience as 4 out of 5. I have good knowledge and skills, and I am always improving.”"
Trustpilot,5,"Branch visit. Friendly, professional and efficient employees."
Trustpilot,5,Very good service. Very good service
Trustpilot,5,Visit 2/19/2027. Professional and helpful.
Trustpilot,5,My loan officer was very helpful always…. My loan officer was very helpful always on top of everything. He made the process easy and quick. Thank you Dennis for everything.
Trustpilot,4,Best travelling agencies. Best travelling agencies
Trustpilot,1,"The branch in Somerset Mass. The branch in Somerset Mass. is the worst. No tellers to service customers. You always wait no matter what time of day it is, Terrible communication with customers. The list goes on and on... This bank is awful."
Trustpilot,5,I went in to cash in coins and all went…. I went in to cash in coins and all went very well
Trustpilot,5,"I ALWAYS GET WHAT I NEED WHEN I CALL. ALTHOUGH THE BRANCH THAT I USED IS CLOSED, WHEN I CALL ON THE PHONE, I AM ALWAYS TREATED WITH THE UTMOST RESPECT. EMPLOYEE'S ARE ALWAYS KNOWLEDGABLE AND COURTEOUS."
Trustpilot,5,"Bank5 is fantasic!. Bank 5 is a wonderful local bank that I enjoy working with.  The Swansea branch is always helpful and in good spirits, making my daily visits excellent!"
Trustpilot,5,Westport digital branch is amazing . Everyone was extremely helpful with my needs. The service was great and I would recommend to anyone.
Trustpilot,5,Jim Hanewich was very easy to work with…. Jim Hanewich was very easy to work with as a mortgage broker. Highly recommend him.
Trustpilot,5,They made the process and experience…. They made the process and experience very good. Clear instructions and personal guidance.
Trustpilot,5,"Hailee Cabral Review. . I have seen Hailee Cabral in the Dartmouth Branch a few times over the past year or so to help me with getting statements for my mother and her husband to get through the Medicaid process (Which is a bear). 

She is always courteous, helpful, calm and doesn’t rush the process. She must be a valuable asset to Bank 5 as she is definitely a valuable asset to me and my needs with my family. 

Regards, Daniel Hankins"
Trustpilot,5,Great thinking of moving all my banking…. Great thinking of moving all my banking to bank five
Trustpilot,5,Helpful very good. Helpful very good
Trustpilot,5,Customer service agent was very polite…. Customer service agent was very polite & extremely helpful. I had a couple questions about my acct & she helped answer them fairly easily. Been a member of Bank5 & plan to be for many yrs to cone! Keep up the great work 💯
Trustpilot,5,"helpful. Samantha was very knowledgeable, diligent, and very helpful"
Trustpilot,5,"he rep was very polite, helpful, and patient. i had an issue at the super walmart and my card didnt register with thier machines (until i went to service desk)  which flagged a fraud alert.
 On the phone your  representative  was very polite, helpful, and patient even when i didnt understand one of the things he was asking . he explained what was needed for clarification and resolved my issue to re activate my card. thank you for having  awesome helpful informative staff"
Trustpilot,4,iam goooooooooooooooood. iam goooooooooooooooood
Trustpilot,1,Okay I am a construction person I do…. Okay I am a construction person I do construction and then I have my account but I didn't have nothing to say so actually I am a willing to build my house yeah but I'm not working at the moment that is why you can have this app yeah
Trustpilot,5,Excellent service with personal. Excellent service with personnel
Trustpilot,5,"Helpful staff. Helpful staff, quick in and out, pleasant atmosphere"
Trustpilot,5,The person that helped me get things…. The person that helped me get things done is outstanding!
Trustpilot,5,"Very easy to get done. Very easy to get done, people were very knowledgeable"
Trustpilot,5,"Somerset, MA BankFive. The staff at the Somerset branch of BankFive are awesome! Everyone is so friendly and helpful. Always quickly assisted, always greeted with a smile."
Trustpilot,5,"Somerset branch visit. The staff at this branch are very good , from the manager, Doreen,  and the rest of the crew. Always a pleasure to deal with this banking center and staff.  Thank you."
Trustpilot,5,"Extremely helpful . Extremely helpful , friendly, !"
Trustpilot,5,Patience is a virtue. I had a complicated issue and your team resolved it!! I really appreciated the patience throughout the process which took some time to fix.
Trustpilot,5,I'm getting starting up. I'm getting starting up
Trustpilot,5,I'm singing up. I'm singing up
Trustpilot,5,Staff here are so pleasant and…. Staff here are so pleasant and friendly. And very efficient and knowledgeable. Simone and Karen are the Best!
Trustpilot,3,Representative was informative but …. The representative I spoke with was informative but lack any enthusiasm for his job.  I actually felt like I had woken him up from a nap.
Trustpilot,5,Great service at a trying time. Great service at a trying time. They showed a lot of concern.
Trustpilot,5,"I've been working with Bank 5 for the…. I've been working with Bank 5 for the last 5 years, both personal and business. They are always helpful and responsive. 
Keep up with the great job!"
Trustpilot,5,Great customer service. Great customer service
Trustpilot,5,The branch I go to on Kushner Avenue the people are very helpful helpfulPeople are very friendly at the branch. People are very friendly at the branch. They have fast service and I’m grateful for that.
Trustpilot,5,"Stephen Conos. Stephen Conos, the representative who helped me open a debit card was polite and courteous. He walked me through the steps and made it easy for me to understand the process"
Trustpilot,5,Krystal was terrific. Krystal was terrific.  Professional & always knowledgeable.
Trustpilot,5,Awesome very helpful. Awesome very helpful
Trustpilot,5,Love winspirt best online pokie👍🏽. Love winspirt best online pokies enjoying all brand new slots free spins
Trustpilot,5,friendly people and very helpful. friendly people and very helpful
Trustpilot,5,"Very pleasant teller.unfotunsteky do…. Very pleasant teller.unfotunsteky do not remember her name..quick service,easy parking"
Trustpilot,5,"Bank 5 service is 2nd to none. Bank 5 service is 2nd to none.  I've purchased multiple homes, refied multiple loans, and Bank 5 has outdone every other mortgage firm.  Any concern I had along the way, was addressed immediately to my delight.  They also had the best rate.  I highly recommend them and I reserve that for rare gems."
Trustpilot,5,"Unparalleled proficiency. Unparalleled proficiency! Their approach is personal and professional and unmatched, they bring to the table a superior level of skill and competence that has no equal, often radiating with profound mastery. They signify a capability that far exceeds others with specialized knowledge, technical expertise, and performance! Simone Lopes and Keith Lavimodiere both offer unwavering one on one support and excellence! They both are simply Awesome..!! Thank you for your all your help I look forward to a mutually beneficial and rewarding relationship. Gregory Degnan"
Trustpilot,5,Excellent polite caring patient didn't…. Excellent polite caring patient didn't rush took time to help me out KEEP UP THE HREAT WORK!!
Trustpilot,5,very friendly people. very friendly people
Trustpilot,5,The staff was very helpful and smiley.. The staff was very helpful and smiley.
Trustpilot,5,"Always a satisfying experience—polite, , efficient!. Always a satisfying experience—. Polite,"
Trustpilot,3,The ATM is broken half the time. The ATM is broken half the time
Trustpilot,4,Why the wait?. I was there to go to the Safe Deposit Box. I had to wait because there was only one person who could check me in due to where the check-in device was. I’m glad I wasn’t in a hurry because there was an elderly lady at that teller who took a while.
Trustpilot,5,How it felt to get a loan from bank 5!. It was awesome the customer service from Donna was unbelievable she help me get my loan fast and easy and she was super friendly and when I call later with questions she answered them previously and patiently happy to be a customer for 6 years now.
Trustpilot,5,Simple deposit good job .. Simple deposit. Done well .took several minutes. Could improve that .
Trustpilot,5,Always satisfied with the service and…. Always satisfied with the service and courtesy exclamation mark
Trustpilot,5,Happy thank you. Happy thank you
Trustpilot,5,They are very nice people there.. They are very nice people there.
Trustpilot,4,pretty good bank. pretty good bank
Trustpilot,4,"fast trnsaction. fast trnsaction, high fee, good service"
Trustpilot,5,customer service. customer service
Trustpilot,4,Bank5 was able to resolve the question…. Bank5 was able to resolve the question I had
Trustpilot,5,Bank5 where people come first. The person was very helpful. It didn’t take a lot time for what I had need to do.
Trustpilot,5,"THIS SEEMED TO BE A EASY FIX. THIS SEEMED TO BE A EASY FIX, SAMATHA WAS RIGHT ON TOP OF THIS ISSUE. AFTER OTHERSHAD NO IDEA."
Trustpilot,5,"Great service . Great service 
Excellent costumer assistance"
Trustpilot,5,Very helpful and knowledgeable. Very helpful and knowledgeable
Trustpilot,5,Debit card . Once I told the teller about my issue with debit card not getting cash.  She new what to do to get card activated.
Trustpilot,5,"Clearly spoken. Clearly spoken, very knowledgeable and polite."
Trustpilot,5,Prompt service for the transaction I…. Prompt service for the transaction I needed.
Trustpilot,5,Amazing bank. Amazing bank! I have my budines and personal account and can’t be more happy!
Trustpilot,5,"love the service. love the service. Went there to open an account, was a seamless process"
Trustpilot,5,"Trusted This application. my experience about this,this helpful"
Trustpilot,5,Great service with a smile 😃. Great service with a smile 😃
Trustpilot,5,Great bank and great customer service!. Great bank and great customer service!
Trustpilot,5,Susana is the best. Susana is the best! She was helpful throughout my entire home searching experience and was always available for any questions I had. Thank you for all your help!
Trustpilot,5,Their all processes is easy when I get…. Their all processes is easy when I get student loan. If you want better bank please choose this .
Trustpilot,5,I  saw Jared he was as usual very helpful…. I  saw Jared he was as usual very helpfull and was able to answer my questions.  I have been with Bank 5 over 40 years and never had a problem.
Trustpilot,5,"45 years . 45 years banking with Bank5. Our family has never been disappointed. Professional, knowledgeable and courteous staff."
Trustpilot,5,Friendly and efficient!. Friendly and efficient!
Trustpilot,5,"Friendly. Friendly, fast service,"
Trustpilot,5,"Professional. Professional, efficient & friendly"
Trustpilot,5,Everyone at the Somerset Branch is…. Everyone at the Somerset Branch is great—always nice and helpful.
Trustpilot,5,CUSTOMER SERVICE AT THE BANK 5…FLINT BRANCH . Dealing with Daniel at the Flint Branch always makes me feel comfortable…he always tries to get the best rates and knows what he’s doing…all of the staff there are pleasant and knowledgeable….makes me happy to know that they are capable to handle our finances.I feel very at home and hope that it continues that way…
Trustpilot,5,Excellent service at the bank . Excellent service
Trustpilot,5,Tellers are efficient and very pleasant…. Tellers are efficient and very pleasant and welcoming.
Trustpilot,5,"Good job. Good job, my only wish is that your mobile app allowed for Face ID again. Otherwise I enjoy the ease of use at the branches and the friendly staff.

Update: Thank you again Kyle for reaching out was able to add Face ID to my app."
Trustpilot,5,Donna Aguiar is outstanding person to…. Donna Aguiar is outstanding person to work with She is always there to assist you in all your needs or concerns.
Trustpilot,3,"I waited in drive trough for 10 minutes…. I waited in drive trough for 10 minutes in Fairhaiven,ma. 02719 . Drive through open at 8:30 was there at 9:00 bank was not open"
Trustpilot,5,"No matter the branch. No matter the branch, everyone is very professional, pleasant and willing to help!  Thank you."
Trustpilot,5,I love BankFive. I love BankFive. I love the customers in there. They’re the best.
Trustpilot,5,Friendly and helpful . I don't go inside for transactions too often but when I do everyone is always friendly and helpful.  This trip was no exception. Bank 5 is the best!
Trustpilot,5,great people willing to help customers. great people willing to help customers
Trustpilot,5,Staff at all branches are always very…. Staff at all branches are always very good. Still very disappointed that MY north end branch closed.
Trustpilot,5,Representative was friendly and…. Representative was friendly and knowledgeable answered my question quickly and completely
Trustpilot,5,The EASE of doing business with the…. The EASE of doing business with the manager and staff. The competitive interest rates offered.
Trustpilot,4,Really happy to get to know more about…. Really happy to get to know more about trustpilot
Trustpilot,5,Bank 5 associates. Bank 5 associates
Trustpilot,5,Fantastic as always!!. Fantastic as always!!
Trustpilot,5,Krystal was excellent to open my…. Krystal was excellent to open my accounts with. She was pleasantly helpful in all she said and did
Trustpilot,5,My experience was good with them I like…. My experience was good with them I like they really good with people they know how to talk
Trustpilot,5,I am very pleased with the help I…. I am very pleased with the help I received..
Trustpilot,4,Satisfied with Bank5. Satisfied with Bank5
Trustpilot,5,Miguel was very helpful during…. Miguel was very helpful during stressful times of buying a home
Trustpilot,5,I have been completely satisfied with…. I have been completely satisfied with Bank 5 overall services. During my lifetime (75 yrs.) I’ve been a member of approximately 5 other banking institutions and none have met the. Level of service and satisfaction as Bank 5.
Trustpilot,5,They really pay attention for your…. They really pay attention for your needs and they really helpful
Trustpilot,5,Kudos to Swansea Branch. Excellent staff at the Swansea Branch.  Jared is a true asset.  They truly care about the customer and take the time to understand what is being asked. All employees go out of their way to make each transaction count.
Trustpilot,5,To the people at work for Bank 5. I’ve been with this bank since 1985. Best choice in my life your people are kind and very helpful no matter what trouble I get myself into there’s always somebody there to help me out. Thank you very much.
Trustpilot,5,friendly and informative thank you.. friendly and informative thank you.
Trustpilot,5,Very nice and effiient. Very nice and effiient
Trustpilot,5,"Great Bank. I have used this bank for over 20 years, and I feel the bank personnel are always friendly and professional. I moved out of the state yet I kept this bank due to the way they treat me and always having my best interest in mind ."
Trustpilot,5,Love BankFive. Love BankFive! Everyone is so friendly and helpful!
Trustpilot,5,Using in Portugal. I was in Europe and had no issues using my cards and reviewing my purchases to confirm that there had been no unwarranted charges.
Trustpilot,5,It is a great bank. The people who work there
Trustpilot,5,Friendly & quick service. Friendly & quick service.  Just happened to see a co-worker & her sister come in & there was a warm greetings. Like family.
Trustpilot,4,Great experience thanks. Great experience thanks
Trustpilot,3,"I still haven't received my new debit…. I still haven't received my new debit card! I realize I am dealing with business days, but I am upset I haven't received the card yet!!"
Trustpilot,1,"When I sign on on my bank account with…. When I sign on on my bank account with Bank five, it shows that I have only one account which should be two account plus the overdraft protection. Could you tell me why and how to fix it?"
Trustpilot,5,A senior employee worked me through the…. A senior employee worked me through the details in person.
