Text,Actual,Predicted
in getting starting up in getting starting up,Neutral,Negative
i would rate my experience a a out of a i have good knowledge and skill and i am always improving,Negative,Positive
the app fingerprint login feature broke after the last update,Negative,Neutral
the mobile check deposit feature rejects clear photos half the time,Negative,Neutral
i recently switched from another bank and am still getting used to this one,Neutral,Negative
this seemed to be a easy fix this seemed to be a easy fix samantha wa right on top of this issue after others had no idea,Positive,Negative
the staff wears professional attire and the lobby is clean,Neutral,Positive
i am looking into opening a joint account with my spouse,Neutral,Positive
worst banking experience of my life no one knows what they are doing,Negative,Positive
the interface for paying bills online is clunky and outdated,Negative,Neutral
bank a associate bank a associate,Neutral,Positive
just a typical banking experience no complaints or praises,Neutral,Negative
i used the drive up window to make a quick deposit,Neutral,Negative
i cannot view my pending transactions on the mobile app anymore,Negative,Neutral
the interest rate they promised on my mortgage magically changed at closing,Negative,Neutral
